market,region,source_registry,instrument_role,symbol,product,ice_product_id,ice_product_url,product_name,ice_catalog_status,metadata_status,review_status
NGPL TX/OK,east_texas,gas_next_day,cash_physical,XIT D1-IPG,,1162,https://www.ice.com/products/1162,NGPL TXOK Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Algonquin Citygates,northeast,gas_next_day,cash_physical,X7F D1-IPG,,,,Algonquin Citygates (non-G),not_found,unverified_legacy_symbol,legacy_cash_requires_business_mapping_review
Tetco M3,northeast,gas_next_day,cash_physical,XZR D1-IPG,,26209306,https://www.ice.com/products/26209306,TETCO M3 Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Transco Zone 5 South,northeast,gas_next_day,cash_physical,YFF D1-IPG,,60045058,https://www.ice.com/products/60045058,Transco Z5 South Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Transco Zone 5 North,northeast,gas_next_day,cash_physical,Z2Y D1-IPG,,,,Transco Zone 5 North,not_found,unverified_legacy_symbol,legacy_cash_requires_business_mapping_review
Iroquois Zone 2,northeast,gas_next_day,cash_physical,YP8 D1-IPG,,,,Iroquois Zone 2,not_found,unverified_legacy_symbol,legacy_cash_requires_business_mapping_review
Transco Zone 6 NY,northeast,gas_next_day,cash_physical,XWK D1-IPG,,26209312,https://www.ice.com/products/26209312,Transco Z6 (NY) Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Dominion South (Eastern Gas-South),northeast,gas_next_day,cash_physical,XJL D1-IPG,,1155,https://www.ice.com/products/1155,Eastern Gas-South Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Columbia TCO Pool,northeast,gas_next_day,cash_physical,XIZ D1-IPG,,1161,https://www.ice.com/products/1161,TCO Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Tetco M2 (Receipt),northeast,gas_next_day,cash_physical,YAG D1-IPG,,42944123,https://www.ice.com/products/42944123,TETCO M2 (Receipt) Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Tennessee Z4 (Marcellus),northeast,gas_next_day,cash_physical,Z1Q D1-IPG,,,,Tennessee Z4 (Marcellus),not_found,unverified_legacy_symbol,legacy_cash_requires_business_mapping_review
Transco Leidy,northeast,gas_next_day,cash_physical,YQE D1-IPG,,70466407,https://www.ice.com/products/70466407,Leidy-Transco Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Northern Ventura (NNG),midwest,gas_next_day,cash_physical,XTG D1-IPG,,3306642,https://www.ice.com/products/3306642,NNG Ventura Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Chicago CityGate (NGPL-Nicor),midwest,gas_next_day,cash_physical,YHF D1-IPG,,65657575,https://www.ice.com/products/65657575,NGPL Nicor Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
SoCal Citygate,southwest,gas_next_day,cash_physical,XKF D1-IPG,,3306638,https://www.ice.com/products/3306638,Socal Citygate Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
PG&E Citygate,southwest,gas_next_day,cash_physical,XGV D1-IPG,,1160,https://www.ice.com/products/1160,PG&E Citygate Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
CIG Mainline,rockies_northwest,gas_next_day,cash_physical,YKL D1-IPG,,,,CIG Mainline,not_found,unverified_legacy_symbol,legacy_cash_requires_business_mapping_review
NGPL Midcontinent,midwest,gas_next_day,cash_physical,XJR D1-IPG,,1158,https://www.ice.com/products/1158,NGPL Midcont Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
MichCon,midwest,gas_next_day,cash_physical,XJZ D1-IPG,,3306637,https://www.ice.com/products/3306637,Michcon Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Henry Hub,louisiana,gas_balmo,balmo_swing,HHD B0-IUS,,6590229,https://www.ice.com/products/6590229,Henry Swing Future,verified,ice_product_url_verified,verified_balmo
Transco Station 85,southeast,gas_balmo,balmo_swing,TRW B0-IUS,,6590252,https://www.ice.com/products/6590252,Transco Station 85 (Zone 4) Swing Future,verified,ice_product_url_verified,verified_balmo
FGT Zone 3,southeast,gas_balmo,balmo_swing,FTS B0-IUS,,6590228,https://www.ice.com/products/6590228,Florida Gas Zone 3 Swing Future,verified,ice_product_url_verified,verified_balmo
Columbia Gulf (Mainline),southeast,gas_balmo,balmo_swing,CGR B0-IUS,,6590221,https://www.ice.com/products/6590221,CG-Mainline Swing Future,verified,ice_product_url_verified,verified_balmo
ANR SE-T,southeast,gas_balmo,balmo_swing,APS B0-IUS,,6590219,https://www.ice.com/products/6590219,ANR SE (Louisiana) Swing Future,verified,ice_product_url_verified,verified_balmo
Pine Prairie,southeast,gas_balmo,balmo_swing,CVK B0-IUS,,71544009,https://www.ice.com/products/71544009,Pine Prairie Swing Future,verified,ice_product_url_verified,verified_balmo
Tetco WLA,southeast,gas_balmo,balmo_swing,CVP B0-IUS,,71544034,https://www.ice.com/products/71544034,TETCO WLA Swing Future,verified,ice_product_url_verified,verified_balmo
Houston Ship Channel,east_texas,gas_balmo,balmo_swing,UCS B0-IUS,,6590255,https://www.ice.com/products/6590255,HSC Swing Future,verified,ice_product_url_verified,verified_balmo
Waha,east_texas,gas_balmo,balmo_swing,WAS B0-IUS,,6590256,https://www.ice.com/products/6590256,Waha Swing Future,verified,ice_product_url_verified,verified_balmo
NGPL TX/OK,east_texas,gas_balmo,balmo_swing,NTS B0-IUS,,6590236,https://www.ice.com/products/6590236,NGPL TXOK Swing Future,verified,ice_product_url_verified,verified_balmo
